year,month,day,dep_delay,arr_delay,carrier,origin,dest,air_time,distance,hour
2014,1,1,24,16,AA,JFK,EGE,266,1746,17
2014,1,1,-3,-13,AA,JFK,MCO,147,944,6
2014,1,1,4,-12,AS,EWR,SEA,347,2402,18
2014,1,1,4,15,AS,EWR,SEA,348,2402,7
2014,1,1,51,60,B6,JFK,CHS,109,636,8
2014,1,1,41,51,B6,JFK,PBI,165,1028,13
2014,1,1,72,49,B6,JFK,BOS,32,187,21
2014,1,1,20,15,B6,EWR,FLL,161,1065,21
2014,1,1,47,48,B6,JFK,RSW,170,1074,9
2014,1,1,18,24,B6,JFK,BTV,50,266,17
2014,1,1,-4,-5,B6,JFK,BUF,62,301,21
2014,1,1,-2,-8,B6,JFK,IAD,53,228,7
2014,1,1,-1,7,B6,JFK,PWM,42,273,22
2014,1,1,127,129,B6,JFK,SYR,53,209,14
2014,1,1,30,17,B6,JFK,RDU,74,427,8
2014,1,1,126,111,B6,JFK,RSW,170,1074,17
2014,1,1,-4,21,B6,JFK,JAX,148,828,14
2014,1,1,5,33,B6,JFK,JAX,149,828,21
2014,1,1,-5,-11,B6,EWR,BOS,45,200,11
2014,1,1,-3,12,B6,JFK,HOU,242,1428,8
2014,1,1,6,-1,B6,JFK,BOS,35,187,16
2014,1,1,107,108,B6,JFK,MCO,148,944,8
2014,1,1,-3,-16,B6,EWR,SJU,194,1608,7
2014,1,1,-2,11,B6,JFK,PBI,163,1028,9
2014,1,1,45,37,B6,JFK,DEN,237,1626,22
2014,1,1,8,17,B6,JFK,ROC,55,264,9
2014,1,1,12,4,B6,JFK,SJU,193,1598,13
2014,1,1,-3,-10,B6,JFK,SAN,342,2446,8
2014,1,1,-9,-14,B6,JFK,FLL,159,1069,19
2014,1,1,-7,-2,B6,JFK,PBI,159,1028,6
2014,1,1,19,20,B6,LGA,PBI,155,1035,14
2014,1,1,4,18,B6,LGA,FLL,165,1076,21
2014,1,1,61,62,B6,JFK,FLL,157,1069,10
2014,1,1,88,90,B6,LGA,PBI,157,1035,17
2014,1,1,1,-10,B6,LGA,FLL,160,1076,9
2014,1,1,-3,-5,B6,EWR,FLL,159,1065,17
2014,1,1,41,31,B6,JFK,PBI,153,1028,16
2014,1,1,7,13,B6,JFK,BQN,198,1576,0
2014,1,1,-6,2,B6,JFK,BUF,62,301,7
2014,1,1,-4,21,B6,EWR,PBI,169,1023,11
2014,1,1,21,21,B6,EWR,PBI,151,1023,18
2014,1,1,-3,11,B6,JFK,LGB,367,2465,18
2014,1,1,99,97,B6,JFK,MCO,149,944,20
2014,1,1,60,52,B6,JFK,LAS,320,2248,19
2014,1,1,23,24,B6,JFK,MCO,155,944,8
2014,1,1,3,1,B6,EWR,MCO,149,937,12
2014,1,1,162,197,B6,JFK,MCO,154,944,15
2014,1,1,118,121,B6,JFK,LAS,325,2248,11
2014,1,1,38,68,B6,JFK,MCO,154,944,20
2014,1,1,-5,3,B6,JFK,FLL,161,1069,6
2014,1,1,24,34,B6,JFK,FLL,165,1069,13
2014,1,1,-2,3,B6,EWR,MCO,145,937,8
2014,1,1,16,8,B6,JFK,PSE,200,1617,0
2014,1,1,-7,11,B6,JFK,TPA,168,1005,6
2014,1,1,-5,19,B6,JFK,FLL,178,1069,8
2014,1,1,11,6,B6,JFK,FLL,157,1069,16
2014,1,1,37,37,B6,JFK,SAN,342,2446,17
2014,1,1,3,-4,B6,JFK,PHX,310,2153,17
2014,1,1,-6,-7,B6,LGA,MCO,146,950,9
2014,1,1,9,7,B6,EWR,PBI,153,1023,21
2014,1,1,29,41,B6,JFK,TPA,164,1005,22
2014,1,1,-3,-3,B6,EWR,FLL,156,1065,5
2014,1,1,18,7,B6,JFK,SEA,346,2422,19
2014,1,1,-2,-5,B6,LGA,PBI,153,1035,7
2014,1,1,-7,18,B6,EWR,MCO,144,937,15
2014,1,1,1,1,B6,JFK,FLL,162,1069,10
2014,1,1,0,9,B6,JFK,PBI,158,1028,6
2014,1,1,-3,42,B6,JFK,SJU,205,1598,23
2014,1,1,-8,1,B6,LGA,TPA,165,1010,15
2014,1,1,-11,-8,B6,EWR,SJU,199,1608,23
2014,1,1,10,54,B6,JFK,ORD,157,740,7
2014,1,1,-3,0,B6,LGA,FLL,158,1076,5
2014,1,1,9,-6,B6,LGA,RSW,161,1080,13
2014,1,1,-5,16,B6,JFK,AUS,247,1521,20
2014,1,1,2,-4,B6,JFK,SJU,200,1598,6
2014,1,1,24,25,B6,JFK,MCO,149,944,15
2014,1,1,0,8,B6,JFK,RSW,174,1074,12
2014,1,1,-2,1,B6,LGA,FLL,161,1076,19
2014,1,1,76,63,B6,JFK,LAS,310,2248,22
2014,1,1,13,-8,B6,JFK,SMF,353,2521,19
2014,1,1,0,2,B6,JFK,MCO,143,944,6
2014,1,1,-4,3,B6,JFK,RSW,177,1074,6
2014,1,1,-1,17,B6,JFK,LGB,357,2465,13
2014,1,1,-4,11,B6,JFK,LAX,349,2475,9
2014,1,1,79,88,B6,JFK,SRQ,171,1041,9
2014,1,1,3,-10,B6,JFK,LAX,349,2475,16
2014,1,1,82,80,B6,LGA,SRQ,164,1047,14
2014,1,1,42,55,B6,LGA,MCO,148,950,21
2014,1,1,-6,19,B6,EWR,RSW,168,1068,7
2014,1,1,42,50,B6,EWR,TPA,161,997,16
2014,1,1,3,1,B6,JFK,LAX,347,2475,11
2014,1,1,110,116,B6,JFK,LAX,349,2475,0
2014,1,1,21,21,B6,JFK,AUS,237,1521,9
2014,1,1,-1,-15,B6,JFK,SJC,365,2569,18
2014,1,1,23,29,B6,EWR,FLL,160,1065,13
2014,1,1,118,132,B6,EWR,MCO,151,937,15
2014,1,1,81,87,B6,JFK,MCO,147,944,23
2014,1,1,-3,-13,B6,JFK,BQN,190,1576,5
2014,1,1,-5,12,B6,JFK,TPA,166,1005,14
2014,1,1,62,70,B6,JFK,FLL,162,1069,22
2014,1,1,9,14,B6,LGA,FLL,170,1076,10
2014,1,1,29,33,B6,JFK,FLL,157,1069,18
2014,1,1,9,5,B6,JFK,SJU,195,1598,9
2014,1,1,47,38,B6,JFK,SLC,292,1990,20
2014,1,1,151,161,B6,JFK,PBI,152,1028,23
2014,1,1,7,3,B6,JFK,LAX,341,2475,20
2014,1,1,111,124,B6,JFK,MCO,144,944,18
2014,1,1,-3,14,B6,LGA,TPA,170,1010,7
2014,1,1,1,-5,B6,LGA,FLL,161,1076,14
2014,1,1,-3,-13,B6,EWR,MCO,145,937,18
2014,1,1,-6,-3,B6,EWR,FLL,162,1065,9
2014,1,1,22,24,B6,JFK,FLL,162,1069,14
2014,1,1,10,4,B6,JFK,ABQ,280,1826,20
2014,1,1,16,36,B6,JFK,MCO,150,944,10
2014,1,1,-5,17,B6,LGA,MCO,151,950,17
2014,1,1,-3,-13,B6,JFK,OAK,364,2576,16
2014,1,1,-4,-12,B6,JFK,LAX,341,2475,6
2014,1,1,-4,-1,B6,JFK,SFO,370,2586,20
2014,1,1,-7,6,B6,JFK,TPA,161,1005,8
2014,1,1,32,31,B6,JFK,SJU,198,1598,23
2014,1,1,8,13,B6,JFK,PBI,155,1028,22
2014,1,1,-7,2,B6,JFK,SFO,370,2586,17
2014,1,1,-3,1,B6,JFK,TPA,169,1005,19
2014,1,1,10,7,B6,JFK,SFO,367,2586,9
2014,1,1,-2,10,B6,JFK,BUR,367,2465,17
2014,1,1,61,53,B6,JFK,SJU,195,1598,8
2014,1,1,40,44,B6,JFK,FLL,158,1069,17
2014,1,1,62,56,B6,JFK,FLL,160,1069,8
2014,1,1,56,39,B6,JFK,SJU,191,1598,15
2014,1,1,81,74,B6,JFK,SJU,194,1598,20
2014,1,1,93,101,B6,LGA,MCO,143,950,8
2014,1,1,121,133,B6,JFK,PDX,353,2454,22
2014,1,1,17,30,B6,EWR,MCO,147,937,22
2014,1,1,-4,7,B6,JFK,BUF,68,301,10
2014,1,1,4,44,B6,JFK,HOU,256,1428,14
2014,1,1,87,101,B6,JFK,MSY,198,1182,15
2014,1,1,36,44,B6,JFK,BUF,58,301,23
2014,1,1,54,53,B6,JFK,SYR,49,209,10
2014,1,1,-5,11,B6,JFK,CHS,112,636,13
2014,1,1,106,117,B6,JFK,IAD,47,228,19
2014,1,1,21,19,B6,JFK,ROC,53,264,23
2014,1,1,-6,21,B6,JFK,MSY,206,1182,6
2014,1,1,-8,-15,B6,JFK,ROC,54,264,14
2014,1,1,5,6,B6,JFK,BUF,66,301,18
2014,1,1,11,13,B6,JFK,SYR,46,209,23
2014,1,1,-2,-9,B6,JFK,BOS,36,187,13
2014,1,1,231,221,B6,JFK,BTV,48,266,16
2014,1,1,182,178,B6,JFK,RDU,74,427,20
2014,1,1,40,32,B6,JFK,BTV,49,266,9
2014,1,1,28,24,B6,JFK,BUF,64,301,17
2014,1,1,-2,3,B6,JFK,RDU,78,427,21
2014,1,1,-5,-17,B6,JFK,PWM,48,273,9
2014,1,1,4,2,B6,JFK,BOS,38,187,12
2014,1,1,63,70,B6,JFK,JAX,140,828,8
2014,1,1,273,268,B6,JFK,BUF,63,301,18
2014,1,1,68,76,B6,JFK,MSY,201,1182,22
2014,1,1,22,28,B6,EWR,PBI,154,1023,17
2014,1,1,-7,-22,B6,EWR,BOS,40,200,8
2014,1,1,-2,4,B6,JFK,CLT,98,541,8
2014,1,1,-1,-3,B6,JFK,PWM,52,273,13
2014,1,1,-5,-14,B6,JFK,CLT,92,541,17
2014,1,1,-2,-1,B6,JFK,BTV,49,266,22
2014,1,1,1,-3,B6,JFK,BOS,38,187,6
2014,1,1,21,2,B6,EWR,BOS,34,200,6
2014,1,1,-5,47,B6,JFK,ORD,152,740,20
2014,1,1,11,11,AA,JFK,LAS,332,2248,17
2014,1,1,-1,-22,AA,JFK,SFO,356,2586,7
2014,1,1,-4,-16,AA,JFK,DFW,218,1391,15
2014,1,1,5,8,AA,JFK,SAN,355,2446,17
2014,1,1,-3,-13,AA,JFK,SFO,366,2586,15
2014,1,1,-3,-23,AA,JFK,SJU,196,1598,16
2014,1,1,10,10,DL,LGA,ATL,126,762,18
2014,1,1,-4,-11,DL,LGA,DTW,99,502,9
2014,1,1,-3,-7,DL,LGA,ATL,129,762,16
2014,1,1,-1,15,DL,EWR,SLC,301,1969,10
2014,1,1,3,-6,DL,JFK,LAS,316,2248,15
2014,1,1,-6,-7,DL,JFK,MCO,149,944,10
2014,1,1,34,14,DL,JFK,ATL,116,760,18
2014,1,1,8,12,DL,JFK,PDX,347,2454,19
2014,1,1,-4,-19,DL,JFK,SFO,363,2586,15
2014,1,1,0,-8,DL,JFK,FLL,157,1069,13
2014,1,1,1,-5,DL,JFK,LAX,357,2475,15
2014,1,1,-3,2,DL,JFK,LAS,321,2248,10
2014,1,1,-4,-21,DL,JFK,AUS,226,1521,16
2014,1,1,19,11,DL,JFK,LAX,355,2475,9
2014,1,1,5,-22,DL,JFK,LAX,346,2475,18
2014,1,1,8,-1,DL,JFK,LAX,338,2475,20
2014,1,1,16,-7,DL,JFK,MIA,156,1089,16
2014,1,1,0,1,DL,JFK,SLC,295,1990,12
2014,1,1,0,-19,DL,JFK,SFO,359,2586,7
2014,1,1,-3,-16,DL,JFK,SFO,354,2586,12
2014,1,1,0,-7,DL,JFK,ATL,118,760,8
2014,1,1,-5,-14,DL,JFK,SFO,365,2586,18
2014,1,1,86,79,DL,JFK,SEA,347,2422,9
2014,1,1,-2,-4,DL,JFK,SEA,347,2422,18
2014,1,1,30,19,DL,JFK,SJU,194,1598,19
2014,1,1,-7,-46,DL,JFK,STT,202,1623,8
2014,1,1,49,36,DL,JFK,LAX,331,2475,7
2014,1,1,7,-20,DL,JFK,LAX,337,2475,17
2014,1,1,9,54,DL,JFK,ATL,144,760,6
2014,1,1,-11,-12,DL,JFK,ATL,122,760,11
2014,1,1,-3,10,DL,JFK,SLC,311,1990,6
2014,1,1,-4,-27,DL,LGA,SRQ,166,1047,10
2014,1,1,-5,-14,DL,LGA,PBI,157,1035,12
2014,1,1,-7,-17,DL,LGA,PBI,153,1035,13
2014,1,1,-7,-14,DL,EWR,ATL,118,746,14
2014,1,1,-11,5,DL,LGA,DEN,262,1620,7
2014,1,1,-5,-7,DL,LGA,DTW,93,502,5
2014,1,1,9,-5,DL,LGA,MSY,192,1183,17
2014,1,1,-5,-17,DL,LGA,ATL,121,762,12
2014,1,1,-3,-14,DL,EWR,ATL,120,746,6
2014,1,1,-1,-6,DL,LGA,ATL,130,762,15
2014,1,1,3,-16,DL,LGA,ATL,116,762,6
2014,1,1,-6,-17,DL,LGA,TPA,157,1010,9
2014,1,1,17,21,DL,LGA,DTW,98,502,13
2014,1,1,70,52,DL,LGA,PBI,159,1035,9
2014,1,1,-6,-5,DL,LGA,PBI,156,1035,14
2014,1,1,-5,-4,DL,LGA,TPA,162,1010,14
2014,1,1,-1,-1,DL,EWR,ATL,118,746,15
2014,1,1,-3,-8,DL,LGA,FLL,165,1076,9
2014,1,1,-5,-17,DL,LGA,ATL,128,762,11
2014,1,1,-2,-23,DL,LGA,MIA,160,1096,15
2014,1,1,-1,0,DL,LGA,MSP,164,1020,18
2014,1,1,13,15,DL,EWR,ATL,119,746,16
2014,1,1,2,-3,DL,JFK,SJU,189,1598,15
2014,1,1,-4,-14,DL,LGA,ATL,122,762,7
2014,1,1,8,2,DL,JFK,FLL,157,1069,20
2014,1,1,-3,-18,DL,LGA,MIA,160,1096,11
2014,1,1,-5,-3,DL,LGA,MSP,167,1020,8
2014,1,1,-6,-13,DL,JFK,MCO,145,944,19
2014,1,1,-2,-13,DL,LGA,FLL,169,1076,16
2014,1,1,49,36,DL,LGA,MCO,143,950,15
2014,1,1,-4,-8,DL,JFK,DTW,97,509,16
2014,1,1,-5,5,DL,LGA,MSP,165,1020,11
2014,1,1,-1,-8,DL,LGA,DTW,98,502,16
2014,1,1,4,-7,DL,LGA,ATL,125,762,14
2014,1,1,-6,-12,DL,LGA,MCO,144,950,7
2014,1,1,-7,-20,DL,JFK,SJU,188,1598,6
2014,1,1,-5,-19,DL,JFK,FLL,166,1069,15
2014,1,1,19,6,DL,JFK,SAN,341,2446,18
2014,1,1,-1,-11,DL,JFK,SJU,194,1598,23
2014,1,1,19,24,DL,LGA,RSW,177,1080,17
2014,1,1,-8,-13,DL,JFK,TPA,159,1005,18
2014,1,1,6,-13,DL,JFK,DEN,235,1626,20
2014,1,1,-4,-14,DL,LGA,MSY,192,1183,9
2014,1,1,13,-7,DL,JFK,MCO,137,944,16
2014,1,1,4,-21,DL,JFK,PHX,302,2153,19
2014,1,1,-1,-14,DL,JFK,ATL,118,760,15
2014,1,1,-6,4,DL,EWR,DTW,101,488,10
2014,1,1,-5,-20,DL,JFK,MIA,162,1089,18
2014,1,1,6,1,DL,LGA,MIA,167,1096,14
2014,1,1,-4,-4,DL,LGA,ATL,125,762,18
2014,1,1,11,13,DL,JFK,SLC,299,1990,19
2014,1,1,52,26,DL,JFK,LAS,312,2248,20
2014,1,1,-6,-19,DL,JFK,SJU,192,1598,8
2014,1,1,-3,-6,DL,JFK,SLC,293,1990,17
2014,1,1,-5,-16,DL,JFK,BOS,32,187,20
2014,1,1,-5,-12,DL,LGA,TPA,163,1010,16
2014,1,1,-5,-20,DL,LGA,ATL,124,762,6
2014,1,1,297,290,DL,EWR,ATL,114,746,16
2014,1,1,-1,-5,DL,LGA,MCO,152,950,17
2014,1,1,-5,-15,DL,LGA,ATL,127,762,14
2014,1,1,-3,-11,DL,EWR,ATL,111,746,10
2014,1,1,-5,-6,DL,LGA,RSW,171,1080,12
2014,1,1,-2,-17,DL,LGA,ATL,123,762,10
2014,1,1,-1,-12,DL,LGA,FLL,161,1076,11
2014,1,1,-1,-15,DL,LGA,MCO,147,950,11
2014,1,1,-1,2,DL,LGA,MSY,195,1183,18
2014,1,1,-3,-11,DL,LGA,FLL,162,1076,13
2014,1,1,-9,-20,DL,LGA,MCO,152,950,15
2014,1,1,-7,3,DL,EWR,DTW,102,488,9
2014,1,1,29,21,DL,LGA,MSP,155,1020,15
2014,1,1,-1,-20,DL,LGA,ATL,121,762,9
2014,1,1,18,18,DL,LGA,FLL,161,1076,18
2014,1,1,-6,-11,DL,LGA,RSW,177,1080,17
2014,1,1,-3,-8,DL,LGA,MCO,149,950,9
2014,1,1,13,16,DL,LGA,DEN,242,1620,18
2014,1,1,-3,-14,AA,JFK,MIA,161,1089,7
2014,1,1,25,35,EV,EWR,DAY,102,533,17
2014,1,1,27,49,EV,EWR,ATL,136,746,17
2014,1,1,111,105,EV,EWR,MHT,36,209,15
2014,1,1,-3,-12,EV,EWR,DCA,42,199,8
2014,1,1,0,-9,EV,EWR,SDF,112,642,15
2014,1,1,78,66,EV,LGA,CLE,85,419,14
2014,1,1,-2,0,EV,EWR,STL,157,872,6
2014,1,1,-4,-5,EV,EWR,MEM,167,946,14
2014,1,1,-5,2,EV,EWR,BNA,133,748,13
2014,1,1,1,13,EV,EWR,GSP,108,594,21
2014,1,1,-3,-5,EV,EWR,CHS,108,628,8
2014,1,1,10,9,EV,EWR,DTW,103,488,12
2014,1,1,-8,25,EV,EWR,MSN,156,799,14
2014,1,1,121,138,EV,EWR,OMA,194,1134,22
2014,1,1,48,64,EV,EWR,IND,120,645,17
2014,1,1,34,30,EV,EWR,RIC,54,277,21
2014,1,1,67,53,EV,EWR,PVD,30,160,23
2014,1,1,4,-1,EV,EWR,CHS,103,628,14
2014,1,1,8,10,EV,EWR,ATL,137,746,21
2014,1,1,82,95,EV,EWR,OMA,194,1134,11
2014,1,1,7,11,EV,EWR,ATL,137,746,19
2014,1,1,148,146,EV,EWR,AVL,101,583,16
2014,1,1,46,75,EV,EWR,MCI,200,1092,15
2014,1,1,46,45,EV,EWR,PWM,48,284,18
2014,1,1,-4,11,EV,EWR,DTW,102,488,20
2014,1,1,24,9,EV,EWR,IND,105,645,14
2014,1,1,4,30,EV,EWR,OKC,237,1325,20
2014,1,1,-1,14,EV,EWR,BNA,138,748,15
2014,1,1,97,120,EV,EWR,MCI,192,1092,19
2014,1,1,-2,-16,EV,EWR,SYR,43,195,16
2014,1,1,46,71,EV,EWR,MKE,141,725,20
2014,1,1,27,23,EV,EWR,DCA,42,199,15
2014,1,1,0,7,EV,EWR,JAX,143,820,15
2014,1,1,62,71,EV,EWR,MSP,173,1008,9
2014,1,1,39,51,EV,EWR,DTW,116,488,16
2014,1,1,0,26,EV,EWR,TUL,218,1215,20
2014,1,1,210,218,EV,EWR,MEM,176,946,21
2014,1,1,-6,-8,EV,EWR,PIT,59,319,16
2014,1,1,-8,-4,EV,EWR,JAX,140,820,6
2014,1,1,-7,-9,EV,EWR,SAV,122,708,11
2014,1,1,75,70,EV,EWR,RIC,59,277,18
2014,1,1,37,59,EV,EWR,MKE,144,725,16
2014,1,1,49,39,EV,EWR,PWM,44,284,17
2014,1,1,35,27,EV,EWR,BWI,38,169,22
2014,1,1,100,105,EV,EWR,GSO,81,445,16
2014,1,1,4,8,EV,EWR,GSP,103,594,15
2014,1,1,61,99,EV,EWR,GRR,139,605,16
2014,1,1,-2,11,EV,EWR,STL,160,872,21
2014,1,1,-1,6,EV,EWR,JAX,143,820,11
2014,1,1,42,45,EV,EWR,STL,152,872,15
2014,1,1,-8,-38,EV,LGA,MEM,154,963,13
2014,1,1,-3,-21,EV,EWR,MEM,148,946,8
2014,1,1,113,121,EV,EWR,DSM,179,1017,21
2014,1,1,34,29,EV,EWR,CVG,107,569,15
2014,1,1,17,24,EV,EWR,DAY,98,533,8
2014,1,1,-5,-8,EV,EWR,PVD,33,160,10
2014,1,1,51,48,EV,EWR,CLT,98,529,22
2014,1,1,0,-16,EV,EWR,ORF,51,284,12
2014,1,1,-2,0,EV,EWR,ATL,132,746,14
2014,1,1,0,-8,EV,EWR,CLT,96,529,9
2014,1,1,-5,11,EV,EWR,STL,170,872,10
2014,1,1,-8,-9,EV,EWR,DAY,98,533,13
2014,1,1,66,68,EV,EWR,JAX,144,820,21
2014,1,1,10,12,EV,EWR,DTW,97,488,12
2014,1,1,-3,-20,EV,LGA,BHM,140,866,16
2014,1,1,-9,-32,EV,LGA,BUF,57,292,10
2014,1,1,-5,-30,EV,LGA,STL,148,888,10
2014,1,1,-8,-23,EV,LGA,CHS,109,641,9
2014,1,1,-6,-26,EV,LGA,PWM,46,269,11
2014,1,1,49,26,EV,LGA,BGR,52,378,18
2014,1,1,6,-25,EV,LGA,ROC,48,254,18
2014,1,1,45,17,EV,LGA,CLT,91,544,16
2014,1,1,13,-9,EV,LGA,CVG,103,585,17
2014,1,1,-8,-33,EV,LGA,BNA,125,764,16
2014,1,1,-5,-23,EV,LGA,ROC,52,254,11
2014,1,1,-3,-26,EV,LGA,BNA,129,764,9
2014,1,1,-9,-21,EV,LGA,IAD,50,229,19
2014,1,1,16,1,EV,EWR,PIT,59,319,12
2014,1,1,80,66,EV,EWR,CLT,93,529,20
2014,1,1,-2,-9,EV,EWR,RIC,55,277,13
2014,1,1,37,37,EV,EWR,BUF,57,282,15
2014,1,1,-5,-13,EV,EWR,CLT,93,529,12
2014,1,1,19,34,EV,EWR,IAD,49,212,17
2014,1,1,-1,-3,EV,EWR,IAD,47,212,6
2014,1,1,35,47,F9,LGA,DEN,246,1620,18
2014,1,1,0,21,F9,LGA,DEN,273,1620,8
2014,1,1,-5,-10,FL,LGA,ATL,124,762,11
2014,1,1,-5,-6,FL,LGA,CAK,72,397,9
2014,1,1,16,13,FL,LGA,ATL,123,762,9
2014,1,1,5,4,FL,LGA,ATL,129,762,17
2014,1,1,-4,-6,FL,LGA,ATL,128,762,14
2014,1,1,-9,-12,FL,LGA,CAK,75,397,20
2014,1,1,-3,-2,FL,LGA,ATL,126,762,19
2014,1,1,6,-7,HA,JFK,HNL,639,4983,9
2014,1,1,8,2,MQ,LGA,CLT,98,544,13
2014,1,1,-5,2,MQ,JFK,CMH,83,483,15
2014,1,1,-3,-5,MQ,JFK,CLE,92,425,14
2014,1,1,35,47,MQ,LGA,STL,156,888,18
2014,1,1,-2,-10,MQ,JFK,BNA,132,765,17
2014,1,1,26,29,MQ,LGA,STL,152,888,11
2014,1,1,-5,-13,MQ,JFK,CVG,112,589,15
2014,1,1,10,15,MQ,JFK,TPA,161,1005,7
2014,1,1,47,59,MQ,JFK,TPA,162,1005,15
2014,1,1,-6,-25,MQ,JFK,BWI,41,184,16
2014,1,1,50,54,EV,EWR,MSP,167,1008,20
2014,1,1,37,33,EV,EWR,CVG,108,569,19
2014,1,1,133,135,EV,EWR,TYS,117,631,21
2014,1,1,0,11,EV,EWR,CHS,112,628,19
2014,1,1,51,22,MQ,JFK,ORF,50,290,17
2014,1,1,-6,-18,MQ,JFK,DCA,42,213,10
2014,1,1,0,1,MQ,JFK,PIT,71,340,15
2014,1,1,44,30,MQ,LGA,RDU,71,431,14
2014,1,1,-7,0,MQ,LGA,CLE,85,419,8
2014,1,1,5,-8,MQ,LGA,CMH,78,479,11
2014,1,1,-2,6,MQ,LGA,ATL,135,762,16
2014,1,1,-3,-16,MQ,JFK,RDU,79,427,14
2014,1,1,-7,-10,MQ,JFK,RDU,78,427,12
2014,1,1,-7,-13,MQ,JFK,RDU,77,427,8
2014,1,1,32,8,MQ,JFK,DCA,43,213,17
2014,1,1,58,46,MQ,JFK,RDU,74,427,20
2014,1,1,76,74,MQ,LGA,CLT,95,544,22
2014,1,1,-10,-9,MQ,JFK,DCA,47,213,11
